Name;X;Y
135;-703.431.500.575.744;-273.603.966.049.223
136;-703.440.199.762.568;-273.597.551.100.554
137;-703.448.616.958.481;-273.590.813.847.691
138y;-70.345.727.533.987;-273.583.903.479.991
139;-70.345.704.064.726;-273.583.352.510.981
140;-703.456.072.203.487;-273.582.068.788.668
141;-703.454.457.034.335;-27.358.169.559.298
142;-703.453.323.014.832;-273.580.737.800.094
143;-703.451.979.285.918;-273.580.616.918.903
144;-703.459.591.271.942;-273.581.609.687.253
145;-703.491.475.747.714;-273.556.309.880.117
146;-703.517.797.295.508;-273.533.820.127.285
147;-703.518.532.387.141;-273.532.776.124.429
148;-703.523.897.360.935;-27.352.945.471.754
149;-703.516.675.657.277;-273.537.524.821.326
150;-703.515.800.446.419;-273.538.555.881.312
151;-703.515.138.639.412;-273.539.289.950.398
152;-703.514.201.752.054;-273.540.134.194.356
153;-703.513.430.634.021;-273.540.916.619.663
154;-703.492.413.014.596;-273.559.499.490.202
155;-703.499.558.544.247;-27.356.063.807.557
156;-703.518.287.379.011;-273.565.699.941.158
158;-70.352.563.075.402;-273.537.729.986.811
159;-703.518.049.891.306;-273.537.956.444.421
160;-703.517.117.177.564;-273.538.868.804.298
161;-70.351.748.055.086;-273.538.497.956.556
162;-703.516.558.201.558;-273.539.503.574.799
163;-703.516.865.453.249;-273.539.190.047.676
164;-703.516.245.782.835;-273.539.853.295.721
165;-703.515.914.221.731;-273.540.264.498.128
166;-703.515.277.991.722;-273.540.927.882.649
167;-703.516.582.128.626;-273.548.459.814.331
168;-703.522.863.104.525;-273.558.856.511.547
169;-703.520.864.889.114;-273.560.768.985.454
170;-703.514.239.381.019;-273.554.512.411.667
171;-703.511.616.307.354;-27.355.535.056.959
172;-70.350.896.945.185;-273.560.213.320.668
173;-703.521.653.401.047;-273.567.575.776.802
174;-703.511.114.114.731;-2.735.650.827.435
175;-703.509.831.664.735;-273.564.767.441.338
176;-703.508.917.178.342;-273.564.485.606.922
177;-703.507.661.658.747;-273.564.152.288.606
178;-703.506.644.247.061;-273.563.920.896.463
179;-703.505.768.271.422;-273.563.769.536.857
180;-703.505.201.240.876;-273.564.172.442.038
181;-703.504.890.435.328;-273.564.527.548.977
182;-703.504.471.718.938;-273.565.117.287.118
183;-703.504.077.403.948;-273.565.545.349.188
184;-703.486.622.690.506;-273.570.315.732.695
185;-703.489.901.694.376;-273.576.390.861.366
186;-703.489.434.846.837;-273.576.751.645.089
187;-703.489.099.566.709;-273.577.119.703.954
188;-703.503.966.828.741;-273.587.944.025.716
189;-703.503.358.718.881;-273.587.158.439.558
190;-703.490.508.096.474;-273.585.436.160.936
191;-703.488.486.431.466;-273.586.999.222.085
192;-703.485.702.999.657;-273.588.780.717.822
193;-703.472.146.248.694;-273.597.926.027.633
194;-703.470.050.179.903;-273.595.906.212.699
195;-703.467.575.767.537;-273.577.354.654.432
196;-703.468.988.331.741;-273.576.351.497.311
197;-703.476.788.311.538;-273.569.795.181.721
198;-703.499.811.406.726;-273.600.411.483.899
199;-70.348.142.889.886;-273.604.770.202.734
200;-703.471.547.555.016;-27.359.850.914.241
201;-70.347.164.965.465;-273.599.472.018.264
202;-70.346.960.800.058;-273.599.770.839.293
203;-703.467.947.154.725;-273.602.399.140.331
204;-703.464.994.718.438;-273.604.332.187.872
205;-703.462.969.981.748;-273.604.586.006.051
206;-703.461.706.366.722;-273.607.171.775.379
207;-7.034.602.728.554;-273.608.182.293.543
208;-703.458.624.274.472;-273.607.844.510.489
209;-703.446.279.072.733;-273.597.694.852.744
210;-703.445.870.310.411;-27.359.725.496.589
211;-703.445.918.977.421;-273.595.140.332.672
212;-703.442.743.152.834;-273.597.227.782.246
213;-703.432.425.524.112;-273.605.450.070.551
214;-703.429.949.453.464;-273.607.355.497.937
215;-703.430.889.271.991;-273.606.613.150.928
216;-703.429.157.810.707;-273.607.807.776.863
217;-703.425.651.291.451;-273.610.763.945.154
218;-703.415.091.603.934;-273.618.877.194.512
219;-703.420.167.670.187;-273.626.946.922.829
220;-703.422.008.732.679;-27.362.913.954.505
221;-703.424.072.168.552;-273.631.130.491.738
222;-703.431.606.916.376;-273.633.180.633.509
223;-703.432.165.922.664;-273.632.538.866.042
224;-703.432.613.785.771;-273.632.013.987.196
226;-703.433.462.038.955;-27.363.567.877.419
225;-703.432.129.298.258;-273.634.300.058.367
227;-703.433.163.584.992;-273.639.225.189.118
228;-703.434.452.887.498;-273.640.341.292.545
229;-703.435.598.500.048;-273.640.586.740.595
230;-70.343.879.768.152;-273.638.542.158.216
231;-703.441.906.772.224;-273.636.694.309.703
232;-703.439.086.325.993;-273.634.129.321.879
233;-70.346.469.068.704;-273.620.335.209.219
234;-703.464.283.303.096;-273.619.538.415.431
235;-703.461.792.306.866;-273.615.807.616.257
236;-703.457.175.150.872;-273.610.738.565.575
237;-703.456.433.876.114;-273.611.006.302.234
238;-70.345.104.846.655;-273.616.276.205.633
239;-703.452.095.811.222;-273.617.119.402.883
240;-703.442.494.113.444;-273.620.822.721.648
241;-703.439.149.405.486;-273.624.439.094.132
242;-703.442.265.392.375;-273.619.253.735.348
243;-7.034.331.436.617;-273.609.403.643.169
244;-703.446.989.368.831;-273.607.495.513.643
245;-703.446.072.754.652;-273.607.424.152.343
246;-703.441.659.287.603;-273.607.342.181.889
247;-703.443.296.095.476;-273.606.882.277.257
248;-703.444.822.571.792;-273.607.290.345.998
249;-703.443.375.295.182;-273.610.039.804.078
250;-703.445.018.105.078;-273.608.942.933.095
251;-70.344.611.228.426;-273.613.993.374.891
